learner_id,condition,previous_difficulty,new_difficulty,action_type,reason,engagement_level,timestamp
ADAPT-001,adaptive,5,6,increase,"Performance: 100.0%, Engagement: 96",high,2026-01-21T07:21:07.218416
ADAPT-001,adaptive,6,7,increase,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:09.313764
ADAPT-001,adaptive,7,7,maintain,"Performance: 66.7%, Engagement: 91",high,2026-01-21T07:21:13.081561
ADAPT-001,adaptive,7,8,increase,"Performance: 75.0%, Engagement: 97",high,2026-01-21T07:21:16.221343
ADAPT-001,adaptive,8,9,increase,"Performance: 80.0%, Engagement: 100",high,2026-01-21T07:21:19.100878
ADAPT-001,adaptive,9,9,maintain,"Performance: 66.7%, Engagement: 84",high,2026-01-21T07:21:23.700329
ADAPT-001,adaptive,9,10,increase,"Performance: 71.4%, Engagement: 95",high,2026-01-21T07:21:27.750972
ADAPT-001,adaptive,10,10,increase,"Performance: 75.0%, Engagement: 100",high,2026-01-21T07:21:32.279528
ADAPT-001,adaptive,10,10,maintain,"Performance: 66.7%, Engagement: 83",high,2026-01-21T07:21:35.981068
ADAPT-001,adaptive,10,10,maintain,"Performance: 60.0%, Engagement: 65",medium,2026-01-21T07:21:39.266369
ADAPT-002,adaptive,5,6,increase,"Performance: 100.0%, Engagement: 97",high,2026-01-21T07:21:07.219379
ADAPT-002,adaptive,6,7,increase,"Performance: 100.0%, Engagement: 100",high,2026-01-21T07:21:09.563034
ADAPT-002,adaptive,7,7,maintain,"Performance: 66.7%, Engagement: 90",high,2026-01-21T07:21:14.424482
ADAPT-002,adaptive,7,7,maintain,"Performance: 50.0%, Engagement: 71",high,2026-01-21T07:21:18.712014
ADAPT-002,adaptive,7,7,maintain,"Performance: 60.0%, Engagement: 86",high,2026-01-21T07:21:23.348180
ADAPT-002,adaptive,7,7,maintain,"Performance: 50.0%, Engagement: 66",medium,2026-01-21T07:21:26.946299
ADAPT-002,adaptive,7,7,maintain,"Performance: 42.9%, Engagement: 57",medium,2026-01-21T07:21:31.733039
ADAPT-002,adaptive,7,7,maintain,"Performance: 50.0%, Engagement: 62",medium,2026-01-21T07:21:34.407131
